season,week,celebrity,TrendLevel,TrendShare,TrendGrowth,TrendMomentum3,TrendLog1p,trend_missing_raw,trend_filled_from
27,1,Alexis Ren,32.714285714285715,0.1000874122812011,,32.714285714285715,3.5179216559702966,False,original
27,2,Alexis Ren,34.0,0.09846917638010583,1.2857142857142847,33.35714285714286,3.5553480614894135,False,original
27,3,Alexis Ren,17.714285714285715,0.07713601409601438,-16.285714285714285,28.142857142857142,2.929287174145838,False,original
27,4,Alexis Ren,17.857142857142858,0.08079632824925714,0.14285714285714235,23.19047619047619,2.9368917735310576,False,original
27,5,Alexis Ren,17.285714285714285,0.07694019614117485,-0.571428571428573,17.61904761904762,2.906120114864304,False,original
27,6,Alexis Ren,20.142857142857142,0.08649245454211311,2.8571428571428577,18.428571428571427,3.0513021247088017,False,original
27,7,Alexis Ren,24.571428571428573,0.10865445308870426,4.428571428571431,20.666666666666668,3.241475656785442,False,original
27,8,Alexis Ren,21.857142857142858,0.09461966563862854,-2.7142857142857153,22.19047619047619,3.1292636661785136,False,original
27,9,Alexis Ren,20.714285714285715,0.09306803552536826,-1.1428571428571423,22.38095238095238,3.077970371790963,False,original
27,1,Bobby Bones,24.142857142857142,0.07386363613765497,,24.142857142857142,3.2245738459828384,False,original
27,2,Bobby Bones,28.714285714285715,0.08316094307731627,4.571428571428573,26.42857142857143,3.391627930646005,False,original
27,3,Bobby Bones,21.428571428571427,0.09330969447098512,-7.285714285714288,24.76190476190476,3.1103356562929947,False,original
27,4,Bobby Bones,22.857142857142858,0.10341930015904914,1.4285714285714306,24.333333333333332,3.172083663361442,False,original
27,5,Bobby Bones,22.428571428571427,0.09983149416664837,-0.4285714285714306,22.238095238095237,3.153956278768885,False,original
27,6,Bobby Bones,26.142857142857142,0.11225616440572128,3.7142857142857153,23.80952380952381,3.3011139231051727,False,original
27,7,Bobby Bones,23.0,0.10170562178651968,-3.1428571428571423,23.857142857142858,3.1780538303479458,False,original
27,8,Bobby Bones,26.285714285714285,0.11379097044122646,3.2857142857142847,25.142857142857142,3.3063632789913164,False,original
27,9,Bobby Bones,19.428571428571427,0.08729139883758677,-6.857142857142858,22.90476190476191,3.016934481204594,False,original
27,1,Danelle Umstead,29.428571428571427,0.09003496475950841,,29.428571428571427,3.4153820166541116,False,original
27,2,Danelle Umstead,29.428571428571427,0.0852296232533689,0.0,29.428571428571427,3.4153820166541116,False,original
27,3,Danelle Umstead,26.4,0.11495754358825368,-3.0285714285714285,28.419047619047618,3.3105430133940246,True,interp
27,4,Danelle Umstead,23.37142857142857,0.10574623441262775,-3.0285714285714285,26.399999999999995,3.1934114860022653,True,interp
27,5,Danelle Umstead,20.34285714285714,0.09054780107853967,-3.0285714285714285,23.37142857142857,3.0607171236434034,True,interp
27,6,Danelle Umstead,17.314285714285717,0.07434670560641214,-3.028571428571425,20.34285714285714,2.9076813954312564,True,interp
27,7,Danelle Umstead,14.285714285714286,0.06317119365622341,-3.0285714285714302,17.314285714285717,2.7269186854065928,False,original
27,8,Danelle Umstead,14.285714285714286,0.06184291871805787,0.0,15.295238095238096,2.7269186854065928,True,interp
27,9,Danelle Umstead,14.285714285714286,0.06418485208646087,0.0,14.285714285714286,2.7269186854065928,True,interp
27,1,DeMarcus Ware,26.142857142857142,0.07998251723781573,,26.142857142857142,3.3011139231051727,False,original
27,2,DeMarcus Ware,30.285714285714285,0.08771203946463207,4.142857142857142,28.214285714285715,3.4431615807611875,False,original
27,3,DeMarcus Ware,14.285714285714286,0.06220646298065676,-15.999999999999998,23.57142857142857,2.7269186854065928,False,original
27,4,DeMarcus Ware,14.285714285714286,0.06463706259940571,0.0,19.61904761904762,2.7269186854065928,False,original
27,5,DeMarcus Ware,14.285714285714286,0.06358693895964865,0.0,14.285714285714286,2.7269186854065928,False,original
27,6,DeMarcus Ware,14.285714285714286,0.0613421663419242,0.0,14.285714285714286,2.7269186854065928,False,original
27,7,DeMarcus Ware,14.285714285714286,0.06317119365622341,0.0,14.285714285714286,2.7269186854065928,False,original
27,8,DeMarcus Ware,14.285714285714286,0.06184291871805787,0.0,14.285714285714286,2.7269186854065928,True,interp
27,9,DeMarcus Ware,14.285714285714286,0.06418485208646087,0.0,14.285714285714286,2.7269186854065928,False,original
27,1,Evanna Lynch,20.142857142857142,0.06162587393733343,,20.142857142857142,3.0513021247088017,False,original
27,2,Evanna Lynch,28.0,0.08109226290126362,7.857142857142858,24.07142857142857,3.367295829986474,False,original
27,3,Evanna Lynch,19.428571428571427,0.08460078965369318,-8.571428571428573,22.523809523809522,3.016934481204594,False,original
27,4,Evanna Lynch,14.285714285714286,0.06463706259940571,-5.142857142857141,20.571428571428573,2.7269186854065928,False,original
27,5,Evanna Lynch,14.285714285714286,0.06358693895964865,0.0,16.0,2.7269186854065928,False,original
27,6,Evanna Lynch,19.857142857142858,0.08526561121527464,5.571428571428571,16.142857142857142,3.0376964726530233,False,original
27,7,Evanna Lynch,14.285714285714286,0.06317119365622341,-5.571428571428571,16.142857142857142,2.7269186854065928,False,original
27,8,Evanna Lynch,19.714285714285715,0.08534322783091985,5.428571428571429,17.952380952380953,3.030823593365261,False,original
27,9,Evanna Lynch,20.857142857142858,0.09370988404623287,1.1428571428571423,18.28571428571429,3.0845277723371223,False,original
27,1,Joe Amabile,23.0,0.07036713265184881,,23.0,3.1780538303479458,False,original
27,2,Joe Amabile,25.142857142857142,0.07281754219705304,2.1428571428571423,24.07142857142857,3.2635760037861075,False,original
27,3,Joe Amabile,14.285714285714286,0.06220646298065676,-10.857142857142856,20.80952380952381,2.7269186854065928,False,original
27,4,Joe Amabile,14.285714285714286,0.06463706259940571,0.0,17.904761904761905,2.7269186854065928,False,original
27,5,Joe Amabile,14.285714285714286,0.06358693895964865,0.0,14.285714285714286,2.7269186854065928,False,original
27,6,Joe Amabile,14.285714285714286,0.0613421663419242,0.0,14.285714285714286,2.7269186854065928,False,original
27,7,Joe Amabile,14.285714285714286,0.06317119365622341,0.0,14.285714285714286,2.7269186854065928,False,original
27,8,Joe Amabile,14.285714285714286,0.06184291871805787,0.0,14.285714285714286,2.7269186854065928,False,original
27,9,Joe Amabile,14.285714285714286,0.06418485208646087,0.0,14.285714285714286,2.7269186854065928,False,original
27,1,John Schneider,24.285714285714285,0.07430069907338073,,24.285714285714285,3.230239583518516,False,original
27,2,John Schneider,23.428571428571427,0.06785270977452669,-0.8571428571428577,23.857142857142854,3.1957534074473464,False,original
27,3,John Schneider,14.285714285714286,0.06220646298065676,-9.14285714285714,20.666666666666668,2.7269186854065928,False,original
27,4,John Schneider,14.285714285714286,0.06463706259940571,0.0,17.333333333333332,2.7269186854065928,False,original
27,5,John Schneider,18.714285714285715,0.08329889003713974,4.428571428571429,15.761904761904765,2.9813435361018916,False,original
27,6,John Schneider,14.285714285714286,0.0613421663419242,-4.428571428571429,15.761904761904765,2.7269186854065928,False,original
27,7,John Schneider,16.714285714285715,0.07391029657778139,2.428571428571429,16.571428571428573,2.8743714165497236,False,original
27,8,John Schneider,14.285714285714286,0.06184291871805787,-2.428571428571429,15.095238095238097,2.7269186854065928,False,original
27,9,John Schneider,14.285714285714286,0.06418485208646087,0.0,15.095238095238097,2.7269186854065928,False,original
27,1,Juan Pablo Di Pace,17.0,0.05201048935136651,,17.0,2.8903717578961645,False,original
27,2,Juan Pablo Di Pace,26.0,0.07529995840831621,9.0,21.5,3.295836866004329,False,original
27,3,Juan Pablo Di Pace,14.285714285714286,0.06220646298065676,-11.714285714285714,19.095238095238095,2.7269186854065928,False,original
27,4,Juan Pablo Di Pace,14.285714285714286,0.06463706259940571,0.0,18.19047619047619,2.7269186854065928,False,original
27,5,Juan Pablo Di Pace,14.285714285714286,0.06358693895964865,0.0,14.285714285714286,2.7269186854065928,False,original
27,6,Juan Pablo Di Pace,14.285714285714286,0.0613421663419242,0.0,14.285714285714286,2.7269186854065928,False,original
27,7,Juan Pablo Di Pace,14.285714285714286,0.06317119365622341,0.0,14.285714285714286,2.7269186854065928,False,original
27,8,Juan Pablo Di Pace,17.428571428571427,0.07544836083603058,3.1428571428571406,15.333333333333334,2.913902255306359,False,original
27,9,Juan Pablo Di Pace,14.285714285714286,0.06418485208646087,-3.1428571428571406,15.333333333333334,2.7269186854065928,False,original
27,1,Mary Lou Retton,26.571428571428573,0.08129370604499304,,26.571428571428573,3.316780039849572,False,original
27,2,Mary Lou Retton,26.428571428571427,0.0765411665139478,-0.1428571428571459,26.5,3.311585222972468,False,original
27,3,Mary Lou Retton,16.285714285714285,0.0709153677979487,-10.142857142857142,23.09523809523809,2.849880396541428,False,original
27,4,Mary Lou Retton,14.285714285714286,0.06463706259940571,-1.9999999999999982,19.0,2.7269186854065928,False,original
27,5,Mary Lou Retton,14.285714285714286,0.06358693895964865,0.0,14.952380952380954,2.7269186854065928,False,original
27,6,Mary Lou Retton,17.0,0.0729971779468898,2.7142857142857135,15.19047619047619,2.8903717578961645,False,original
27,7,Mary Lou Retton,17.0,0.07517372045090585,0.0,16.0952380952381,2.8903717578961645,True,interp
27,8,Mary Lou Retton,17.0,0.07359307327448886,0.0,17.0,2.8903717578961645,True,interp
27,9,Mary Lou Retton,17.0,0.07637997398288843,0.0,17.0,2.8903717578961645,True,interp
27,1,Milo Manheim,25.571428571428573,0.07823426549491266,,25.571428571428573,3.279836524657888,False,original
27,2,Milo Manheim,31.142857142857142,0.09019445567589525,5.571428571428569,28.357142857142858,3.4701902531491067,False,original
27,3,Milo Manheim,20.428571428571427,0.08895524206233915,-10.714285714285715,25.71428571428571,3.0647251450409425,False,original
27,4,Milo Manheim,20.285714285714285,0.09178462889115611,-0.14285714285714235,23.952380952380953,3.0580361568901457,False,original
27,5,Milo Manheim,23.142857142857142,0.1030108411146308,2.8571428571428577,21.285714285714285,3.18398856586776,False,original
27,6,Milo Manheim,21.142857142857142,0.09078640618604782,-2.0,21.523809523809522,3.0975149678639333,False,original
27,7,Milo Manheim,19.285714285714285,0.08528111143590159,-1.8571428571428577,21.19047619047619,3.0099169085459474,False,original
27,8,Milo Manheim,17.428571428571427,0.07544836083603058,-1.8571428571428577,19.285714285714285,2.913902255306359,False,original
27,9,Milo Manheim,19.0,0.08536585327499295,1.571428571428573,18.57142857142857,2.995732273553991,False,original
27,1,Nancy McKeon,30.857142857142858,0.0944055941167661,,30.857142857142858,3.4612616224048054,False,original
27,2,Nancy McKeon,23.714285714285715,0.06868018184494776,-7.142857142857142,27.285714285714285,3.207381445442466,False,original
27,3,Nancy McKeon,16.857142857142858,0.07340362631717498,-6.857142857142858,23.80952380952381,2.882403588246988,False,original
27,4,Nancy McKeon,14.285714285714286,0.06463706259940571,-2.571428571428571,18.285714285714285,2.7269186854065928,False,original
27,5,Nancy McKeon,14.285714285714286,0.06358693895964865,0.0,15.142857142857144,2.7269186854065928,False,original
27,6,Nancy McKeon,14.285714285714286,0.0613421663419242,0.0,14.285714285714286,2.7269186854065928,True,interp
27,7,Nancy McKeon,14.285714285714286,0.06317119365622341,0.0,14.285714285714286,2.7269186854065928,True,interp
27,8,Nancy McKeon,14.285714285714286,0.06184291871805787,0.0,14.285714285714286,2.7269186854065928,True,interp
27,9,Nancy McKeon,14.285714285714286,0.06418485208646087,0.0,14.285714285714286,2.7269186854065928,True,interp
27,1,Nikki Glaser,23.428571428571427,0.07167832145902611,,23.428571428571427,3.1957534074473464,False,original
27,2,Nikki Glaser,14.285714285714286,0.04137360352105287,-9.14285714285714,18.857142857142858,2.7269186854065928,False,original
27,3,Nikki Glaser,17.107142857142858,0.07449223941933647,2.821428571428571,18.273809523809522,2.8963064934159792,True,interp
27,4,Nikki Glaser,19.92857142857143,0.09016870232617098,2.821428571428573,17.107142857142858,3.041115279401809,True,interp
27,5,Nikki Glaser,22.75,0.10126220029324047,2.8214285714285694,19.92857142857143,3.1675825304806504,True,interp
27,6,Nikki Glaser,25.571428571428573,0.10980247775204433,2.821428571428573,22.75,3.279836524657888,False,original
27,7,Nikki Glaser,25.571428571428573,0.1130764366446399,0.0,24.63095238095238,3.279836524657888,True,interp
27,8,Nikki Glaser,25.571428571428573,0.11069882450532359,0.0,25.571428571428573,3.279836524657888,True,interp
27,9,Nikki Glaser,25.571428571428573,0.11489088523476496,0.0,25.571428571428573,3.279836524657888,True,interp
27,1,Tinashe,23.571428571428573,0.07211538439475189,,23.571428571428573,3.2015843277581397,False,original
27,2,Tinashe,24.714285714285715,0.07157633409142146,1.1428571428571423,24.142857142857146,3.247046701834897,False,original
27,3,Tinashe,16.857142857142858,0.07340362631717498,-7.857142857142858,21.71428571428571,2.882403588246988,False,original
27,4,Tinashe,16.714285714285715,0.07562536324130469,-0.14285714285714235,19.42857142857143,2.8743714165497236,False,original
27,5,Tinashe,14.285714285714286,0.06358693895964865,-2.428571428571429,15.95238095238095,2.7269186854065928,False,original
27,6,Tinashe,14.285714285714286,0.0613421663419242,0.0,15.095238095238097,2.7269186854065928,True,interp
27,7,Tinashe,14.285714285714286,0.06317119365622341,0.0,14.285714285714286,2.7269186854065928,True,interp
27,8,Tinashe,14.285714285714286,0.06184291871805787,0.0,14.285714285714286,2.7269186854065928,True,interp
27,9,Tinashe,14.285714285714286,0.06418485208646087,0.0,14.285714285714286,2.7269186854065928,False,original
28,1,Ally Brooke,15.857142857142858,0.07038681008705919,,15.857142857142858,2.8247744754103516,False,original
28,2,Ally Brooke,14.285714285714286,0.06644518241520514,-1.5714285714285712,15.071428571428573,2.7269186854065928,False,original
