season,week,window_start,window_end,source_url
30,1,2021-09-20,2021-09-26,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,2,2021-09-27,2021-10-03,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,3,2021-10-04,2021-10-10,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,4,2021-10-11,2021-10-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,5,2021-10-12,2021-10-17,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,6,2021-10-18,2021-10-24,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,7,2021-10-25,2021-10-31,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,8,2021-11-01,2021-11-07,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,9,2021-11-08,2021-11-14,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
30,10,2021-11-15,2021-11-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_30)
32,1,2023-09-26,2023-10-02,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,2,2023-10-03,2023-10-09,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,3,2023-10-10,2023-10-16,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,4,2023-10-17,2023-10-23,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,5,2023-10-24,2023-10-30,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,6,2023-10-31,2023-11-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,7,2023-11-07,2023-11-13,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,8,2023-11-14,2023-11-20,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,9,2023-11-21,2023-11-27,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,10,2023-11-28,2023-12-04,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
32,11,2023-12-05,2023-12-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_32)
33,1,2024-09-17,2024-09-23,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,2,2024-09-24,2024-10-06,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,3,2024-10-07,2024-10-07,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,4,2024-10-08,2024-10-14,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,5,2024-10-15,2024-10-21,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,6,2024-10-22,2024-10-28,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,7,2024-10-29,2024-11-11,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,8,2024-11-12,2024-11-18,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
33,9,2024-11-19,2024-11-25,https://en.wikipedia.org/wiki/Dancing_with_the_Stars_(American_season_33)
