season,week,celebrity_name,window_start,window_end,gdelt_mentions_week,gdelt_query,status
2,2,George Hamilton,2006-01-12,2006-01-18,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,George Hamilton,2006-01-19,2006-01-25,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,George Hamilton,2006-01-26,2006-02-01,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,George Hamilton,2006-02-02,2006-02-08,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,George Hamilton,2006-02-09,2006-02-15,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,George Hamilton,2006-02-16,2006-02-22,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,George Hamilton,2006-02-23,2006-03-01,,"""George Hamilton"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Giselle Fernandez,2006-01-05,2006-01-11,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Giselle Fernandez,2006-01-12,2006-01-18,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Giselle Fernandez,2006-01-19,2006-01-25,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Giselle Fernandez,2006-01-26,2006-02-01,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Giselle Fernandez,2006-02-02,2006-02-08,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Giselle Fernandez,2006-02-09,2006-02-15,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Giselle Fernandez,2006-02-16,2006-02-22,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,8,Giselle Fernandez,2006-02-23,2006-03-01,,"""Giselle Fernandez"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,1,Jerry Rice,2006-01-05,2006-01-11,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,2,Jerry Rice,2006-01-12,2006-01-18,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,3,Jerry Rice,2006-01-19,2006-01-25,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,4,Jerry Rice,2006-01-26,2006-02-01,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,5,Jerry Rice,2006-02-02,2006-02-08,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,6,Jerry Rice,2006-02-09,2006-02-15,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
2,7,Jerry Rice,2006-02-16,2006-02-22,,"""Jerry Rice"" AND (""Dancing with the Stars"" OR DWTS)",NO_DATA
