season,week,celebrity,trend,timeframe,kw
27,7,Mary Lou Retton,,2018-11-05 2018-11-11,Mary Lou Retton Dancing with the Stars
27,7,Milo Manheim,19.285714285714285,2018-11-05 2018-11-11,Milo Manheim Dancing with the Stars
27,7,Nancy McKeon,,2018-11-05 2018-11-11,Nancy McKeon Dancing with the Stars
27,7,Nikki Glaser,,2018-11-05 2018-11-11,Nikki Glaser Dancing with the Stars
27,7,Tinashe,,2018-11-05 2018-11-11,Tinashe Dancing with the Stars
27,8,Alexis Ren,21.857142857142858,2018-11-12 2018-11-18,Alexis Ren Dancing with the Stars
27,8,Bobby Bones,26.285714285714285,2018-11-12 2018-11-18,Bobby Bones Dancing with the Stars
27,8,Danelle Umstead,,2018-11-12 2018-11-18,Danelle Umstead Dancing with the Stars
27,8,DeMarcus Ware,,2018-11-12 2018-11-18,DeMarcus Ware Dancing with the Stars
27,8,Evanna Lynch,19.714285714285715,2018-11-12 2018-11-18,Evanna Lynch Dancing with the Stars
27,8,Joe Amabile,14.285714285714286,2018-11-12 2018-11-18,Joe Amabile Dancing with the Stars
27,8,John Schneider,14.285714285714286,2018-11-12 2018-11-18,John Schneider Dancing with the Stars
27,8,Juan Pablo Di Pace,17.428571428571427,2018-11-12 2018-11-18,Juan Pablo Di Pace Dancing with the Stars
27,8,Mary Lou Retton,,2018-11-12 2018-11-18,Mary Lou Retton Dancing with the Stars
27,8,Milo Manheim,17.428571428571427,2018-11-12 2018-11-18,Milo Manheim Dancing with the Stars
