season,week,celebrity,trend,timeframe,kw
2,3,Lisa Rinna,24.428571428571427,2006-01-19 2006-01-25,Lisa Rinna Dancing with the Stars
2,3,Master P,,2006-01-19 2006-01-25,Master P Dancing with the Stars
2,3,Stacy Keibler,31.714285714285715,2006-01-19 2006-01-25,Stacy Keibler Dancing with the Stars
2,3,Tatum O'Neal,,2006-01-19 2006-01-25,Tatum O'Neal Dancing with the Stars
2,3,Tia Carrere,,2006-01-19 2006-01-25,Tia Carrere Dancing with the Stars
2,4,Drew Lachey,,2006-01-26 2006-02-01,Drew Lachey Dancing with the Stars
2,4,George Hamilton,,2006-01-26 2006-02-01,George Hamilton Dancing with the Stars
2,4,Giselle Fernandez,,2006-01-26 2006-02-01,Giselle Fernandez Dancing with the Stars
2,4,Jerry Rice,,2006-01-26 2006-02-01,Jerry Rice Dancing with the Stars
2,4,Kenny Mayne,,2006-01-26 2006-02-01,Kenny Mayne Dancing with the Stars
2,4,Lisa Rinna,14.285714285714286,2006-01-26 2006-02-01,Lisa Rinna Dancing with the Stars
2,4,Master P,14.285714285714286,2006-01-26 2006-02-01,Master P Dancing with the Stars
2,4,Stacy Keibler,25.0,2006-01-26 2006-02-01,Stacy Keibler Dancing with the Stars
2,4,Tatum O'Neal,,2006-01-26 2006-02-01,Tatum O'Neal Dancing with the Stars
2,4,Tia Carrere,,2006-01-26 2006-02-01,Tia Carrere Dancing with the Stars
2,5,Drew Lachey,14.285714285714286,2006-02-02 2006-02-08,Drew Lachey Dancing with the Stars
2,5,George Hamilton,,2006-02-02 2006-02-08,George Hamilton Dancing with the Stars
2,5,Giselle Fernandez,,2006-02-02 2006-02-08,Giselle Fernandez Dancing with the Stars
2,5,Jerry Rice,,2006-02-02 2006-02-08,Jerry Rice Dancing with the Stars
2,5,Kenny Mayne,,2006-02-02 2006-02-08,Kenny Mayne Dancing with the Stars
2,5,Lisa Rinna,,2006-02-02 2006-02-08,Lisa Rinna Dancing with the Stars
2,5,Master P,,2006-02-02 2006-02-08,Master P Dancing with the Stars
2,5,Stacy Keibler,36.285714285714285,2006-02-02 2006-02-08,Stacy Keibler Dancing with the Stars
2,5,Tatum O'Neal,,2006-02-02 2006-02-08,Tatum O'Neal Dancing with the Stars
2,5,Tia Carrere,,2006-02-02 2006-02-08,Tia Carrere Dancing with the Stars
2,6,Drew Lachey,,2006-02-09 2006-02-15,Drew Lachey Dancing with the Stars
2,6,George Hamilton,14.285714285714286,2006-02-09 2006-02-15,George Hamilton Dancing with the Stars
2,6,Giselle Fernandez,,2006-02-09 2006-02-15,Giselle Fernandez Dancing with the Stars
2,6,Jerry Rice,,2006-02-09 2006-02-15,Jerry Rice Dancing with the Stars
2,6,Kenny Mayne,,2006-02-09 2006-02-15,Kenny Mayne Dancing with the Stars
2,6,Lisa Rinna,27.857142857142858,2006-02-09 2006-02-15,Lisa Rinna Dancing with the Stars
2,6,Master P,,2006-02-09 2006-02-15,Master P Dancing with the Stars
2,6,Stacy Keibler,36.142857142857146,2006-02-09 2006-02-15,Stacy Keibler Dancing with the Stars
2,6,Tatum O'Neal,,2006-02-09 2006-02-15,Tatum O'Neal Dancing with the Stars
2,6,Tia Carrere,,2006-02-09 2006-02-15,Tia Carrere Dancing with the Stars
2,7,Drew Lachey,,2006-02-16 2006-02-22,Drew Lachey Dancing with the Stars
2,7,George Hamilton,,2006-02-16 2006-02-22,George Hamilton Dancing with the Stars
2,7,Giselle Fernandez,,2006-02-16 2006-02-22,Giselle Fernandez Dancing with the Stars
2,7,Jerry Rice,,2006-02-16 2006-02-22,Jerry Rice Dancing with the Stars
