celebrity,wiki_title,date,views,season
Bobby Bones,Bobby Bones,20181111,1137,27
Bobby Bones,Bobby Bones,20181112,1361,27
Bobby Bones,Bobby Bones,20181113,25280,27
Bobby Bones,Bobby Bones,20181114,4074,27
Bobby Bones,Bobby Bones,20181115,7069,27
Bobby Bones,Bobby Bones,20181116,2755,27
Bobby Bones,Bobby Bones,20181117,1948,27
Bobby Bones,Bobby Bones,20181118,1666,27
Bobby Bones,Bobby Bones,20181119,2757,27
Bobby Bones,Bobby Bones,20181120,88443,27
Bobby Bones,Bobby Bones,20181121,19389,27
Bobby Bones,Bobby Bones,20181122,7772,27
Bobby Bones,Bobby Bones,20181123,4763,27
Bobby Bones,Bobby Bones,20181124,3951,27
Bobby Bones,Bobby Bones,20181125,3677,27
Danelle Umstead,Danelle Umstead,20180924,1408,27
Danelle Umstead,Danelle Umstead,20180925,34705,27
Danelle Umstead,Danelle Umstead,20180926,36379,27
Danelle Umstead,Danelle Umstead,20180927,5762,27
Danelle Umstead,Danelle Umstead,20180928,2905,27
Danelle Umstead,Danelle Umstead,20180929,2445,27
Danelle Umstead,Danelle Umstead,20180930,2563,27
Danelle Umstead,Danelle Umstead,20181001,1892,27
Danelle Umstead,Danelle Umstead,20181002,18166,27
Danelle Umstead,Danelle Umstead,20181003,18851,27
Danelle Umstead,Danelle Umstead,20181004,4021,27
Danelle Umstead,Danelle Umstead,20181005,1943,27
Danelle Umstead,Danelle Umstead,20181006,1516,27
Danelle Umstead,Danelle Umstead,20181007,1357,27
Danelle Umstead,Danelle Umstead,20181008,1348,27
Danelle Umstead,Danelle Umstead,20181009,2280,27
Danelle Umstead,Danelle Umstead,20181010,919,27
Danelle Umstead,Danelle Umstead,20181011,675,27
Danelle Umstead,Danelle Umstead,20181012,532,27
Danelle Umstead,Danelle Umstead,20181013,460,27
Danelle Umstead,Danelle Umstead,20181014,473,27
Danelle Umstead,Danelle Umstead,20181015,504,27
Danelle Umstead,Danelle Umstead,20181016,1007,27
Danelle Umstead,Danelle Umstead,20181017,503,27
Danelle Umstead,Danelle Umstead,20181018,316,27
Danelle Umstead,Danelle Umstead,20181019,329,27
Danelle Umstead,Danelle Umstead,20181020,336,27
Danelle Umstead,Danelle Umstead,20181021,357,27
Danelle Umstead,Danelle Umstead,20181022,382,27
Danelle Umstead,Danelle Umstead,20181023,853,27
Danelle Umstead,Danelle Umstead,20181024,347,27
Danelle Umstead,Danelle Umstead,20181025,292,27
Danelle Umstead,Danelle Umstead,20181026,230,27
Danelle Umstead,Danelle Umstead,20181027,211,27
Danelle Umstead,Danelle Umstead,20181028,230,27
Danelle Umstead,Danelle Umstead,20181029,271,27
Danelle Umstead,Danelle Umstead,20181030,794,27
Danelle Umstead,Danelle Umstead,20181031,308,27
Danelle Umstead,Danelle Umstead,20181101,164,27
Danelle Umstead,Danelle Umstead,20181102,195,27
Danelle Umstead,Danelle Umstead,20181103,245,27
Danelle Umstead,Danelle Umstead,20181104,226,27
Danelle Umstead,Danelle Umstead,20181105,244,27
Danelle Umstead,Danelle Umstead,20181106,686,27
Danelle Umstead,Danelle Umstead,20181107,229,27
Danelle Umstead,Danelle Umstead,20181108,214,27
Danelle Umstead,Danelle Umstead,20181109,165,27
Danelle Umstead,Danelle Umstead,20181110,167,27
Danelle Umstead,Danelle Umstead,20181111,180,27
Danelle Umstead,Danelle Umstead,20181112,168,27
Danelle Umstead,Danelle Umstead,20181113,683,27
Danelle Umstead,Danelle Umstead,20181114,222,27
Danelle Umstead,Danelle Umstead,20181115,174,27
Danelle Umstead,Danelle Umstead,20181116,144,27
Danelle Umstead,Danelle Umstead,20181117,137,27
Danelle Umstead,Danelle Umstead,20181118,133,27
Danelle Umstead,Danelle Umstead,20181119,222,27
Danelle Umstead,Danelle Umstead,20181120,1090,27
Danelle Umstead,Danelle Umstead,20181121,275,27
Danelle Umstead,Danelle Umstead,20181122,161,27
Danelle Umstead,Danelle Umstead,20181123,130,27
Danelle Umstead,Danelle Umstead,20181124,135,27
Danelle Umstead,Danelle Umstead,20181125,122,27
DeMarcus Ware,DeMarcus Ware,20180924,2022,27
DeMarcus Ware,DeMarcus Ware,20180925,38800,27
DeMarcus Ware,DeMarcus Ware,20180926,16402,27
DeMarcus Ware,DeMarcus Ware,20180927,4294,27
DeMarcus Ware,DeMarcus Ware,20180928,2629,27
DeMarcus Ware,DeMarcus Ware,20180929,3067,27
DeMarcus Ware,DeMarcus Ware,20180930,3189,27
DeMarcus Ware,DeMarcus Ware,20181001,3164,27
DeMarcus Ware,DeMarcus Ware,20181002,30742,27
DeMarcus Ware,DeMarcus Ware,20181003,13393,27
DeMarcus Ware,DeMarcus Ware,20181004,3300,27
DeMarcus Ware,DeMarcus Ware,20181005,2040,27
DeMarcus Ware,DeMarcus Ware,20181006,1674,27
DeMarcus Ware,DeMarcus Ware,20181007,1695,27
DeMarcus Ware,DeMarcus Ware,20181008,2009,27
DeMarcus Ware,DeMarcus Ware,20181009,40177,27
DeMarcus Ware,DeMarcus Ware,20181010,8295,27
DeMarcus Ware,DeMarcus Ware,20181011,4235,27
DeMarcus Ware,DeMarcus Ware,20181012,2573,27
DeMarcus Ware,DeMarcus Ware,20181013,2157,27
DeMarcus Ware,DeMarcus Ware,20181014,2380,27
DeMarcus Ware,DeMarcus Ware,20181015,2259,27
DeMarcus Ware,DeMarcus Ware,20181016,8011,27
DeMarcus Ware,DeMarcus Ware,20181017,2288,27
DeMarcus Ware,DeMarcus Ware,20181018,1577,27
DeMarcus Ware,DeMarcus Ware,20181019,1719,27
DeMarcus Ware,DeMarcus Ware,20181020,1262,27
DeMarcus Ware,DeMarcus Ware,20181021,1384,27
DeMarcus Ware,DeMarcus Ware,20181022,1827,27
DeMarcus Ware,DeMarcus Ware,20181023,8219,27
DeMarcus Ware,DeMarcus Ware,20181024,1837,27
DeMarcus Ware,DeMarcus Ware,20181025,1214,27
DeMarcus Ware,DeMarcus Ware,20181026,1131,27
DeMarcus Ware,DeMarcus Ware,20181027,943,27
DeMarcus Ware,DeMarcus Ware,20181028,1123,27
DeMarcus Ware,DeMarcus Ware,20181029,1000,27
DeMarcus Ware,DeMarcus Ware,20181030,5504,27
DeMarcus Ware,DeMarcus Ware,20181031,1293,27
DeMarcus Ware,DeMarcus Ware,20181101,917,27
DeMarcus Ware,DeMarcus Ware,20181102,860,27
DeMarcus Ware,DeMarcus Ware,20181103,762,27
DeMarcus Ware,DeMarcus Ware,20181104,1202,27
DeMarcus Ware,DeMarcus Ware,20181105,1001,27
DeMarcus Ware,DeMarcus Ware,20181106,16362,27
DeMarcus Ware,DeMarcus Ware,20181107,2734,27
